"id","name","email","age","gender","role","createdAt","updatedAt"
1,John Doe,john.doe@example.com,30,Male,User,"2024-08-15 15:16:32","2024-08-15 15:16:32"
2,Jane Smith,jane.smith@example.com,28,Female,User,"2024-08-15 15:16:32","2024-08-15 15:16:32"
3,Mark Johnson,mark.johnson@example.com,35,Male,User,"2024-08-15 15:16:32","2024-08-15 15:16:32"
4,Emily Brown,brown@example.com,21,Female,User,"2024-08-15 15:16:32","2024-08-15 15:16:32"
5,Michael Lee,lee@example.com,26,Male,User,"2024-08-15 15:16:32","2024-08-15 15:16:32"
6,John Doe,john.doe@example.com,30,Male,User,"2024-08-15 15:18:07","2024-08-15 15:18:07"
7,Jane Smith,jane.smith@example.com,28,Female,User,"2024-08-15 15:18:07","2024-08-15 15:18:07"
8,Mark Johnson,mark.johnson@example.com,35,Male,User,"2024-08-15 15:18:07","2024-08-15 15:18:07"
9,Emily Brown,brown@example.com,21,Female,User,"2024-08-15 15:18:07","2024-08-15 15:18:07"
10,Michael Lee,lee@example.com,26,Male,User,"2024-08-15 15:18:07","2024-08-15 15:18:07"
11,John Doe,john.doe@example.com,30,Male,User,"2024-08-15 15:18:44","2024-08-15 15:18:44"
12,Jane Smith,jane.smith@example.com,28,Female,User,"2024-08-15 15:18:44","2024-08-15 15:18:44"
13,Mark Johnson,mark.johnson@example.com,35,Male,User,"2024-08-15 15:18:44","2024-08-15 15:18:44"
14,Emily Brown,brown@example.com,21,Female,User,"2024-08-15 15:18:44","2024-08-15 15:18:44"
15,Michael Lee,lee@example.com,26,Male,User,"2024-08-15 15:18:44","2024-08-15 15:18:44"
16,John Doe,john.doe@example.com,28,Male,User,"2024-08-15 15:36:20","2024-08-15 15:36:20"
17,Jane Smith,jane.smith@example.com,32,Female,User,"2024-08-15 15:36:20","2024-08-15 15:36:20"
18,Admin User,admin@example.com,45,Male,Admin,"2024-08-15 15:36:20","2024-08-15 15:36:20"
19,Test User,user3@example.com,26,Female,User,"2024-08-15 15:36:20","2024-08-15 15:36:20"
20,Another User,user4@example.com,30,Male,User,"2024-08-15 15:36:20","2024-08-15 15:36:20"
21,New User,user6@gmail.com,29,Female,User,"2024-08-15 15:36:20","2024-08-15 15:36:20"
22,John Doe,john.doe@example.com,28,Male,User,"2024-08-15 15:41:04","2024-08-15 15:41:04"
23,Jane Smith,jane.smith@example.com,32,Female,User,"2024-08-15 15:41:04","2024-08-15 15:41:04"
24,Admin User,admin@example.com,45,Male,Admin,"2024-08-15 15:41:04","2024-08-15 15:41:04"
25,Test User,user3@example.com,26,Female,User,"2024-08-15 15:41:04","2024-08-15 15:41:04"
26,Another User,user4@example.com,30,Male,User,"2024-08-15 15:41:04","2024-08-15 15:41:04"
27,New User,user6@gmail.com,29,Female,User,"2024-08-15 15:41:04","2024-08-15 15:41:04"
28,John Doe,john.doe@example.com,28,Male,User,"2024-08-15 15:44:33","2024-08-15 15:44:33"
29,Jane Smith,jane.smith@example.com,32,Female,User,"2024-08-15 15:44:33","2024-08-15 15:44:33"
30,Admin User,admin@example.com,45,Male,Admin,"2024-08-15 15:44:33","2024-08-15 15:44:33"
31,Test User,user3@example.com,26,Female,User,"2024-08-15 15:44:33","2024-08-15 15:44:33"
32,Another User,user4@example.com,30,Male,User,"2024-08-15 15:44:33","2024-08-15 15:44:33"
33,New User,user6@gmail.com,29,Female,User,"2024-08-15 15:44:33","2024-08-15 15:44:33"
